key,view,sample,score,hash,file,seed,sunElev,sunAz,massif,coverage,tone,quality,resolutionScale,temporalUpscale,jitter,shadowStep,drawingBuffer,glRenderer,camera
"A1","pilot","0","0.029980","d8d22fb6f74e13cc5f6e165817a7f9fc8258de77357204a8198fe2a01add4352","/tmp/clouds-preset-contact-metal-20260529-051122/raw/A1_pilot.png","64916","15","117","280","0.38","neutral","high","0.75","true","true","20","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-804.29,249.35,889.89]"
"A2","pilot","0","0.245884","19628740a820177a7e3384f91d5c520dbed6db079cd6a8c13e135c2917d06c85","/tmp/clouds-preset-contact-metal-20260529-051122/raw/A2_pilot.png","64916","17.5","117","280","0.38","neutral","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-624.09,188.23,593.96]"
"A3","pilot","0","0.041742","a4f95186e7798d9a762fa4e5a53e47d4d83e37e62616f37dad25f8deada382b9","/tmp/clouds-preset-contact-metal-20260529-051122/raw/A3_pilot.png","64916","14","-118","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[1030.63,233.55,-381.29]"
"A1","saved","1","0.031521","eba5107c8b351e2ee5a60cb17a07eb59d5217f755946705a13910b0007cd9b75","/tmp/clouds-preset-contact-metal-20260529-051122/raw/A1_s01.png","64916","15","117","280","0.38","neutral","high","0.75","true","true","20","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-804.29,249.35,889.89]"
"A1","saved","2","0.030241","08c1909052149596309654a286d0849fd693da6376a2c04606e1a19bbcca9c7c","/tmp/clouds-preset-contact-metal-20260529-051122/raw/A1_s02.png","64916","15","117","280","0.38","neutral","high","0.75","true","true","20","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-804.29,249.35,889.89]"
"A1","saved","3","0.028132","d3cfd4671de77736e244947a062d21dd147af3f0bbd2b5cebd34416b896ca785","/tmp/clouds-preset-contact-metal-20260529-051122/raw/A1_s03.png","64916","15","117","280","0.38","neutral","high","0.75","true","true","20","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-804.29,249.35,889.89]"
"A1","wide","1","0.021192","899eed775ecc83f23370f731b53e1ed57c1aa230b320efb44f3a55d107bc9558","/tmp/clouds-preset-contact-metal-20260529-051122/raw/A1_wide.png","64916","15","117","280","0.38","neutral","high","0.75","true","true","20","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-1284.59,592.53,1700.22]"
"A2","saved","1","0.254362","c7473a122a373d6ff1b8f0fcb10e62dc2766e00aff7a2c383d5fdf5bd0bd2ce8","/tmp/clouds-preset-contact-metal-20260529-051122/raw/A2_s01.png","64916","17.5","117","280","0.38","neutral","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-624.09,188.23,593.96]"
"A2","saved","2","0.300827","6dafc9ad7760cbe810f580e9f09acb8aad1aa9c20b4dbe408a183ee2296262ba","/tmp/clouds-preset-contact-metal-20260529-051122/raw/A2_s02.png","64916","17.5","117","280","0.38","neutral","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-624.09,188.23,593.96]"
"A2","saved","3","0.107193","99de5c28adb0f901d6eefdd8e8e1292d1ad9c10e0d9a38213bd80d225454f0f4","/tmp/clouds-preset-contact-metal-20260529-051122/raw/A2_s03.png","64916","17.5","117","280","0.38","neutral","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-624.09,188.23,593.96]"
